ID,カードパック,カード名,属性,カード種別,レアリティ,コスト,攻撃力,HP,効果,効果関数
30,COR,ヘッドショット,Red,Action Card,Common,5,,,＜アーツチャージ2＞敵ヒーローに3ダメージ,art_charge:2;damage_enemy_hero:3
31,COR,アングリーチャージ,Red,Action Card,Common,3,,,＜アーツチャージ2＞味方ユニット1体の攻撃力+2,art_charge:2;buff_target_attack:2
32,COR,信頼の力,Red,Action Card,Common,2,,,味方ユニット1体の攻撃力+2,buff_target_attack:2
33,COR,使命感,Red,Action Card,Common,2,,,全ての味方ユニットの攻撃力+1,buff_all_friendly_attack:1
34,COR,加撃,Red,Action Card,Common,2,,,味方ユニット1体の攻撃力+1ランダムな敵ユニット1体に1ダメージ,buff_target_attack:1;damage_random_enemy:1
35,COR,不意打ち,Red,Action Card,Rare,4,,,＜アーツチャージ1＞敵ヒーローに2ダメージ,art_charge:1;damage_enemy_hero:2
36,COR,精密射撃,Red,Action Card,Rare,5,,,＜アーツチャージ1＞敵ユニット1体に6ダメージ,damage_target:6;art_charge:1
37,COR,ストームトルネード,Red,Action Card,Rare,5,,,敵ユニット1体に6貫通ダメージ,pierce_damage_target:6
38,COR,託された弾薬,Red,Action Card,Rare,4,,,敵ユニット1体に4貫通ダメージ,pierce_damage_target:4
39,COR,統率された部隊,Red,Action Card,Rare,3,,,全ての味方ユニットの攻撃力+2（1回攻撃するまで）,buff_all_friendly_attack_temp:2
40,COR,刺し違え,Red,Action Card,Rare,2,,,味方ユニット1体に5ダメージを与え、ランダムな敵ユニット1体に5ダメージ,destroy_friendly;damage_random_enemy:5
41,COR,冷徹な悪魔狩り,Red,Action Card,Epic,4,,,全てのユニットに4ダメージ,damage_all_units:4
42,COR,上空からの強襲,Red,Action Card,Epic,3,,,味方ユニット1体の攻撃力+2（1回攻撃するまで）＜空戦＞付与,buff_target_attack:2;grant_flight_target
43,COR,連鎖する烈火,Red,Action Card,Epic,3,,,敵ユニット1体に、このバトル中の連鎖する烈火の使用回数+4ダメージこのダメージでユニットを破壊した場合、死亡時能力は発動せず、ゲームから除外する（使用回数：0）,damage_target:4
44,COR,竜王の審判,Red,Action Card,Legendary,5,,,敵ユニットに12ダメージを振り分ける,action_effect;split_damage_all_enemy_units:12
45,COR,双龍の波動,Red,Action Card,Legendary,2,,,敵ユニット1体に、場の味方ユニット数+3ダメージ,damage_by_friendly_count:3
46,COR,メットールC-15,Green,Unit Card,Common,3,2,3,＜シールド＞＜目覚め＞：HP+2、応援を探索,shield:1
47,COR,まこと,Green,Unit Card,Common,3,2,5,撃破：+1/+1,decimate:buff_self_attack_hp:1
48,COR,アベル,Green,Unit Card,Common,4,2,6,プレイ時：味方ヒーローのライフ+4,play:heal_hero:4
49,COR,ヒューゴー,Green,Unit Card,Common,5,3,5,プレイ時：自身を除くランダムな味方ユニット1体のHP+2,play:buff_random_friendly_hp:2
50,COR,ドスジャギィ,Green,Unit Card,Common,4,2,6,プレイ時：ジャギィ1体を場に出す,play:summon_token:1
51,COR,クルペッコ,Green,Unit Card,Common,3,2,4,プレイ時：自身を除くランダムな味方ユニット1体のHP+2,play:buff_random_friendly_hp:2
52,COR,アイルー,Green,Unit Card,Common,3,1,7,＜MPブースト：20＞,mp_boost:20
53,COR,ウラガンキン,Green,Unit Card,Common,5,2,7,プレイ時：自身を含む全ての味方ユニットのHP+2,play:buff_all_friendly_hp:2
54,COR,ホーガンマー,Green,Unit Card,Common,5,3,7,場に出た時：敵ユニットがいない場合、+1/+1、＜シールド＞を得る,enter_field:buff_self_attack_hp:1
55,COR,バブリー・クラブロス,Green,Unit Card,Common,3,2,3,プレイ時：自身を除く味方ユニットにHP3を振り分ける,play:split_heal_friendly:3
56,COR,アーマー・アルマージ,Green,Unit Card,Common,3,1,6,プレイ時：自身を除く全ての味方緑ユニットのHP+2攻撃時：味方緑ユニットにHP3を振り分ける,play:buff_all_friendly_hp:2;attack:split_heal_friendly:3
57,COR,シェリー・バーキン,Green,Unit Card,Common,3,2,5,プレイ時：味方ヒーローのライフ+2,play:heal_hero:2
58,COR,神月かりん,Green,Unit Card,Rare,5,3,6,撃破：HP+2初めてHPが6以上になった時：攻撃力+2,decimate:buff_self_hp:2
59,COR,ザンギエフ,Green,Unit Card,Rare,5,3,5,＜シールド＞＜成長＞：5Lv.2：全ての味方ユニットのHP+3Lv.3：ランダムな敵ユニット1体に自身のHP分のダメージ,shield:1;growth:5
60,COR,ツィツィヤック,Green,Unit Card,Rare,4,2,5,プレイ時：正面の敵ユニットを封印味方ユニットが場に出た時：自身の正面を除くランダムな敵ユニット1体を封印,play:seal_front_unit
61,COR,クレッセント・グリズリー,Green,Unit Card,Rare,8,4,10,＜重貫通＞撃破：MP+2初めてHPが12以上になった時：MP+2,heavy_pierce;decimate:mp_gain:2
62,COR,エレナ,Green,Unit Card,Rare,3,1,5,プレイ時：自身を除くランダムな味方ユニット1体のHP+3,play:buff_random_friendly_hp:3
63,COR,リチャード・エイゲン,Green,Unit Card,Rare,4,2,7,プレイ時：デッキ内のユニットカード1枚をEXポケットに加え、そのカードに＜シールド＞付与死亡時：自身を除くランダムな味方ユニット1体に＜シールド＞付与,play:draw_to_ex
64,COR,レベッカ・チェンバース,Green,Unit Card,Epic,4,1,13,攻撃時：自身のHP-2、自身を除くランダムな味方ユニット1体のHP+2＜数攻＞＞20自分の手札とEXポケットにある全ての人間ユニットカードの攻撃力+1,attack:buff_random_friendly_hp:2
65,COR,クレド,Green,Unit Card,Rare,4,2,4,プレイ時：自身を除くランダムな味方ユニット1体のHP+3,play:buff_random_friendly_hp:3
66,COR,ラージャン,Green,Unit Card,Rare,6,2,9,＜連撃＞＜エナジー＞：+1/+1攻撃時：エナジーポイント+2戦闘ダメージを受けずに生き残った時：エナジーポイント+3,combo
67,COR,アイリス,Green,Unit Card,Epic,5,1,4,＜シールド＞＜MPブースト：50＞,shield:1;mp_boost:50
68,COR,クリス・レッドフィールド,Green,Unit Card,Epic,5,2,9,撃破：HP+3場にいる間：自身を除く味方緑ユニットに「撃破：+2/+2」付与,decimate:buff_self_hp:3
69,COR,フェリシア,Green,Unit Card,Epic,6,2,5,プレイ時：全ての自分の枠にフェリシアを出す,play:summon_token:3
70,COR,超文明の遺物 エックス,Green,Unit Card,Legendary,5,4,5,プレイ時：自身を除くランダムな味方ユニット1体のHP+5撃破：倒したユニットの能力を得る（1回まで）,play:buff_random_friendly_hp:5
71,COR,神脚美技 春麗,Green,Unit Card,Legendary,5,2,6,＜俊敏＞＜連撃＞,agility;combo
72,COR,三角跳び,Green,Action Card,Common,1,,,味方ユニット1体に＜シールド＞付与,target:friendly_unit;shield:1
73,COR,吹き荒れる砂塵,Green,Action Card,Common,1,,,味方ヒーローに＜シールド＞付与,target:friendly_hero;shield:1
74,COR,武装解除,Green,Action Card,Common,2,,,敵ユニット1体を封印,seal_target
75,COR,ハチミツ,Green,Action Card,Common,1,,,味方ユニット1体のHP+2,buff_target_hp:2
76,COR,グリーンハーブ,Green,Action Card,Common,3,,,＜アーツチャージ＞1味方ユニット1体のHP+5,art_charge:1;buff_target_hp:5
77,COR,癒しの鳴踊り,Green,Action Card,Common,3,,,全ての味方ユニットのHP+3,buff_all_friendly_hp:3
78,COR,燃料補給,Green,Action Card,Common,6,,,全ての味方ユニットのHP+7,buff_all_friendly_hp:7
79,COR,ビーストキャノン,Green,Action Card,Common,2,,,味方ユニット1体の攻撃力+2,buff_target_attack:2
80,COR,揺るぎない信仰心,Green,Action Card,Rare,4,,,デッキ内の緑ユニット1体のMPを半分（端数切り上げ）にしてEXポケットに加える,halve_mp;draw_to_ex
81,COR,ヒーリング,Green,Action Card,Rare,2,,,味方ユニット1体のHP+4,buff_target_hp:4
82,COR,応急手当,Green,Action Card,Rare,4,,,＜アーツチャージ＞1味方ユニット1体のHP+6,art_charge:1;buff_target_hp:6
83,COR,頭目の招集,Green,Action Card,Rare,3,,,全ての自分の枠にジャギィを出す,summon_token:3
84,COR,猪突猛進,Green,Action Card,Rare,3,,,味方ユニット1体のHP+2そのユニットは即時攻撃をする,buff_target_hp:2;immediate_attack
85,COR,緊急出撃,Green,Action Card,Epic,2,,,ランダムな味方ユニット1体に味方緑ユニット1体のHPと同じダメージ,damage_random_friendly_by_green_hp
86,COR,圧倒的な軍勢,Green,Action Card,Epic,6,,,全ての味方ユニットに+2/+2して、攻撃準備時間をリセットする,buff_all_friendly_attack_hp:2;reset_attack_timer
87,COR,緊急回避,Green,Action Card,Rare,2,,,MP5以下のユニット1体の攻撃力とHPを元の値に戻す,restore_stats
88,COR,復興の夢,Green,Action Card,Epic,2,,,味方緑ユニット1体をEXポケットに戻し、味方ヒーローのライフ+4,heal_hero:4;return_friendly_to_ex
89,COR,風翔の暴嵐,Green,Action Card,Legendary,2,,,＜空戦＞を持つ全てのユニットに7ダメージ、＜空戦＞解除,damage_flight_units:7;remove_flight
90,COR,魂の献上,Green,Action Card,Legendary,6,,,味方緑ユニット1体に+7/+7、封印,buff_target_attack:7;buff_target_hp:7;seal_target
91,COR,レミー,Purple,Unit Card,Common,4,2,8,場に出た時：デッキ内のMP4の紫ユニットカード1枚をEXポケットに加えるMP4の味方ユニットが場に出た時：自身の攻撃力+1,enter_field:draw_to_ex
92,COR,ディー,Purple,Unit Card,Common,3,2,5,＜ヴェール＞,veil
93,COR,ドスバギィ,Purple,Unit Card,Common,5,3,6,プレイ時：ランダムな敵ユニット1体を5秒間停止,play:halt_random_enemy:5
94,COR,ゲリョス,Purple,Unit Card,Common,4,2,6,プレイ時：ランダムな敵ユニット1体の攻撃力-1（1回攻撃するまで）＜成長＞：4Lv.2：攻撃力2以下のランダムな敵ユニット1体をEXポケットに戻す,play:debuff_random_enemy_attack:1;growth:4
95,COR,ラダーヤダー,Purple,Unit Card,Common,3,1,3,＜空戦＞を持つ敵ユニットに与える攻撃ダメージ+6,anti_air
96,COR,プラズマ,Purple,Unit Card,Common,3,2,5,呼応：＜空戦＞を得る,resonate:grant_flight_self
97,COR,ヘル＝ラスト,Purple,Unit Card,Common,3,1,5,呼応：攻撃力+1,resonate:buff_self_attack:1
98,COR,ヘル＝プライド,Purple,Unit Card,Common,3,2,5,呼応：HP+1,resonate:buff_self_hp:1
99,COR,アルケニー,Purple,Unit Card,Common,3,2,5,死亡時：自身を破壊した敵ユニットを5秒間停止,death:halt_killer:5
100,COR,ブラッドゴイル,Purple,Unit Card,Common,3,2,4,＜空戦＞,flight
101,COR,アナカリス,Purple,Unit Card,Common,3,2,3,プレイ時：正面のユニットを13秒間停止,play:halt_front_unit:13
102,COR,レイレイ,Purple,Unit Card,Common,7,3,4,呼応：+2/+2,resonate:buff_self_attack_hp:2
103,COR,ローズ,Purple,Unit Card,Rare,5,3,6,プレイ時：EXポケットに1枚ドローする。敵ユニットがいない場合、代わりにデッキ内のMP4以上のカード1枚をEXポケットに加え、そのカードのMP-1、味方ヒーローのMP+2攻撃時：ランダムな敵ユニット1体の攻撃力-2（1回攻撃するまで）,play:draw_to_ex;attack:debuff_random_enemy_attack:2
104,COR,ネルスキュラ,Purple,Unit Card,Rare,5,2,6,プレイ時：停止状態の全ての敵ユニットに6ダメージ停止状態の敵ユニットが死亡：+1/+2,play:damage_halted_enemies:6
105,COR,ブーメル・クワンガー,Purple,Unit Card,Rare,3,2,4,プレイ時：ランダムな敵ユニット1体の攻撃力-2（1回攻撃するまで）＜目覚め＞：+1/+1、全ての敵ユニットの攻撃力-2（1回攻撃するまで）,play:debuff_random_enemy_attack:2
106,COR,ウェブ・スパイダス,Purple,Unit Card,Rare,5,2,8,＜俊敏＞プレイ時：正面のユニットに3ダメージ停止状態の敵ユニットが死亡：ランダムな敵ユニット1体を13秒間停止、そのユニットに「5秒ごとに1ダメージ」を付与死亡時：自身を破壊した敵ユニットを13秒間停止,agility;play:damage_front_unit:3;death:halt_random_enemy:13
107,COR,メフィスト,Purple,Unit Card,Rare,7,2,10,＜空戦＞,flight
108,COR,ヘル＝グリード,Purple,Unit Card,Rare,6,2,6,呼応：色欲を抱きしめる傲慢か脅威の者のどちらか1体を場に出す,resonate:summon_token:1
109,COR,リリス,Purple,Unit Card,Rare,4,2,6,＜俊敏＞停止状態の敵ユニットを無視してヒーローに攻撃する,agility
110,COR,コーリン,Purple,Unit Card,Rare,5,2,7,呼応：自身を除くランダムな味方ユニット1体に+1/+1＜メモリー＞：4「場にいる間：全ての敵ユニットが受ける効果ダメージ+1」を得る【メモリー数：0】,resonate:buff_random_friendly_attack:1;memory:4
111,COR,ゼノ・ジーヴァ,Purple,Unit Card,Epic,8,2,12,＜空戦＞＜ヴェール＞,flight;veil
112,COR,いぶき,Purple,Unit Card,Epic,6,3,6,＜俊敏＞呼応：HP+2＜メモリー＞：4敵ユニットに5ダメージを振り分ける【メモリー数：0】,agility;resonate:buff_self_hp:2;memory:4
113,COR,エイダ・ウォン,Purple,Unit Card,Epic,3,1,1,プレイ時：停止状態の全ての敵ユニットに6ダメージ,play:damage_halted_enemies:6
114,COR,ジェスター,Purple,Unit Card,Epic,7,2,8,呼応：血染めの石像1体を場に出す,resonate:summon_token:1
115,COR,闇を彷徨うリビドー モリガン,Purple,Unit Card,Legendary,4,4,5,停止状態の敵ユニットを無視してヒーローに攻撃する呼応：正面のユニットを5秒間停止,resonate:halt_front_unit:5
116,COR,復讐の悪魔狩人 ダンテ,Purple,Unit Card,Legendary,6,3,5,＜俊敏＞呼応：魔人ダンテになる,agility
117,COR,予期せぬ妨害,Purple,Action Card,Common,3,,,MP3以下のアクションカードを打ち消す,negate_action:3
118,COR,まやかしの情報,Purple,Action Card,Common,3,,,MPが場のユニット数以下のアクションカードを打ち消す,negate_action:0
119,COR,弱体化,Purple,Action Card,Common,2,,,攻撃力3以上の敵ユニット1体の攻撃力-1,debuff_random_enemy_attack:1
120,COR,消された記憶,Purple,Action Card,Common,6,,,MP4以下のアクションカードを打ち消す,negate_action:4
121,COR,クリスタルハンター,Purple,Action Card,Common,2,,,敵ユニット1体を5秒間停止,halt_random_enemy:5
122,COR,こやし玉,Purple,Action Card,Rare,6,,,敵ユニット1体をEXポケットに戻す,return_to_ex
123,COR,予知,Purple,Action Card,Common,1,,,EXポケットに1枚ドローする,draw_to_ex
124,COR,毒の散布,Purple,Action Card,Common,2,,,全ての敵ユニットの攻撃力-1（1回攻撃するまで）、「自身が受ける効果ダメージ+1」を付与,debuff_all_enemy_attack:1
125,COR,見え透いた嘘,Purple,Action Card,Rare,3,,,MP4以下のアクションカードを打ち消し、打ち消されたアクションカードをMP-2してEXポケットに戻す（MPの最低値は1）,negate_and_return:2
126,COR,フックショット,Purple,Action Card,Rare,2,,,ユニット1体に＜空戦＞（1回攻撃するまで）付与,grant_flight_target
127,COR,空蝉の術,Purple,Action Card,Rare,4,,,アクションカードの対象をランダムに変更,
128,COR,爪刈り,Purple,Action Card,Rare,3,,,敵ユニット1体の攻撃力-3（1回攻撃するまで）,debuff_random_enemy_attack:3
129,COR,苦悩,Purple,Action Card,Rare,1,,,MP5以上の敵ユニット1体を5秒間停止,halt_random_enemy:5
130,COR,つまみ食い,Purple,Action Card,Common,3,,,敵ユニット1体に2〜4のランダムダメージ、与えたダメージ分味方ヒーローのライフ回復,damage_random_enemy:3;heal_hero:3
131,COR,ダークホールド,Purple,Action Card,Epic,3,,,敵ユニット1体を13秒間停止,halt_random_enemy:13
132,COR,魔力の封印,Purple,Action Card,Epic,3,,,MP3以下の敵ユニット1体をEXポケットに戻し、その枠を10秒間封鎖,return_to_ex
133,COR,隠された真意,Purple,Action Card,Epic,3,,,MP4以下のアクションカードを打ち消す味方ヒーローのライフを半減する,negate_action:4;halve_hero_life
134,COR,魔人化,Purple,Action Card,Legendary,3,,,味方紫ユニット1体に＜空戦＞＜俊敏＞付与,grant_flight_target;grant_agility_target
135,COR,支配された頭脳,Purple,Action Card,Legendary,7,,,敵ユニット1体のコントロールを奪う,control_enemy
136,COR,ソドム,Black,Unit Card,Common,5,2,7,＜リベンジ＞：+1/+5,revenge
137,COR,ドスギルオス,Black,Unit Card,Common,4,3,7,プレイ時：3ライフ犠牲＜クエスト＞：敵ユニットが死亡するLv 2：+1/+1Lv 3：＜波及＞を得るLv 4：味方ヒーローのライフ+3,play:life_sacrifice:3
138,COR,ラドバルキン,Black,Unit Card,Common,5,3,6,撃破：+1/+3＜成長＞：3Lv 2：相手の手札とEXポケットにある全てのユニットカードに「プレイ時：1ライフ犠牲」を付与,decimate:buff_self_attack:1;decimate:buff_self_hp:3;growth:3
139,COR,ホイール・アリゲイツ,Black,Unit Card,Common,4,2,10,場にいる間：自分のEXポケットを使用できない,
140,COR,レイダーキラー,Black,Unit Card,Common,3,2,6,プレイ時：味方ユニットが3回以上レベルアップしていた場合、攻撃力+1＜成長＞：3Lv 2：HP+2Lv 3：＜シールド＞を得る［レベルが上がった回数：0］,growth:3
141,COR,ゾンビ,Black,Unit Card,Common,3,3,2,死亡時：MP+1＜リベンジ＞：攻撃力+2,death:mp_gain:1;revenge
142,COR,ケルベロス,Black,Unit Card,Common,3,2,4,＜リベンジ＞：+1/+3、＜俊敏＞を得る,revenge
143,COR,ダイナモ,Black,Unit Card,Common,4,4,9,味方ユニットが場に出た時：自身を破壊,
144,COR,クロウ,Black,Unit Card,Rare,3,2,5,＜空戦＞,flight
145,COR,アーカム,Black,Unit Card,Common,4,2,5,死亡時：デッキ内の＜リベンジ＞が発動しているユニット1体をEXポケットに加える,death:draw_to_ex
146,COR,ファントム,Black,Unit Card,Common,4,3,7,プレイ時：デッキ内のMP4以下のユニットカード2枚を墓地に送る死亡時：デッキ内のユニットカード1枚をEXポケットに加える,play:send_to_graveyard:2;death:draw_to_ex
147,COR,ビシャモン,Black,Unit Card,Common,4,3,8,攻撃時：自身に1ダメージ死亡時：ランダムな敵ユニット1体のHP-2,attack:damage_self:1;death:damage_random_enemy:2
148,COR,セス,Black,Unit Card,Rare,5,3,6,＜リベンジ＞：+2/+3＜目覚め＞：+1/+2、MP+1,revenge
149,COR,ロレント,Black,Unit Card,Rare,5,3,6,プレイ時：味方ヒーローのライフが15以下の場合、＜空戦＞を得る＜目覚め＞：ランダムな敵ユニット1体に味方ユニットが＜目覚め＞状態となった回数分の貫通ダメージ（最大7ダメージまで）［目覚め回数：0］,
150,COR,イビルジョー,Black,Unit Card,Rare,8,6,8,＜臨戦＞撃破：+1/+2,rush;decimate:buff_self_attack:1;decimate:buff_self_hp:2
151,COR,ハンター,Black,Unit Card,Rare,5,4,7,プレイ時：3ライフ犠牲,play:life_sacrifice:3
152,COR,ウィリアム・バーキン,Black,Unit Card,Rare,3,3,3,プレイ時：3ライフ犠牲、自身以外の全ての味方ユニットの攻撃力+1,play:life_sacrifice:3;play:buff_all_friendly_attack:1
153,COR,プロトタイラント,Black,Unit Card,Rare,5,3,7,場に出た時：敵ユニットがいない場合、＜圧倒＞を得る、MP+2＜解放＞：10+2/+2,unleash:10
154,COR,グリフォン,Black,Unit Card,Common,6,3,6,＜空戦＞,flight
155,COR,ザベル・ザロック,Black,Unit Card,Rare,4,2,5,HPが3以下の間：攻撃力+3,
156,COR,ベガ,Black,Unit Card,Epic,10,6,7,死亡時：自分の墓地からMP5以下の黒ユニット1体を+2/+2してEXポケットに戻し、そのカードのMP-5、MP6以下のランダムな敵ユニット1体を破壊,
157,COR,VAVA,Black,Unit Card,Epic,4,3,7,場にいる間：自分のMP最大値-2＜成長＞：3Lv 2：+1/+1Lv 3：全ての敵ユニットに3ダメージ,growth:3
158,COR,T-002 タイラント,Black,Unit Card,Epic,4,4,1,死亡時：攻撃力1以下の全てのユニットを破壊＜リベンジ＞：HP+8,death:destroy_low_attack:1;revenge
159,COR,ジェダ・ドーマ,Black,Unit Card,Epic,5,3,4,＜リベンジ＞：+2/+5,revenge
160,COR,野望の継承者 ウェスカー,Black,Unit Card,Legendary,6,17,17,場に出た時：攻撃力とHPを味方ヒーローのライフ分マイナスする＜解放＞：10MP5以下のランダムな敵ユニット1体を破壊,unleash:10
161,COR,伝説喰らいの古龍 ネルギガンテ,Black,Unit Card,Legendary,6,0,1,＜ヴェール＞プレイ時：自分のデッキからカードを5枚まで墓地に送り、+4/+10敵ユニットが死亡：自分の墓地からMP4以下のランダムなユニット1体をEXポケットに戻す,veil;play:send_to_graveyard:5;play:buff_self_attack:4;play:buff_self_hp:10
162,COR,強化蘇生,Black,Action Card,Common,5,,,自分の墓地からランダムなユニット1体を+1/+1して場に出す,revive_from_graveyard
163,COR,屍肉漁り,Black,Action Card,Common,3,,,自分の墓地からランダムなMP5以上のユニット1体を+1/+1して、EXポケットに戻す,revive_from_graveyard
164,COR,下僕の使役,Black,Action Card,Common,4,,,2ライフ犠牲デッキ内のMP4以下のユニット1体を場に出すそのユニットに「死亡時：自身を除外」を付与,life_sacrifice:2
165,COR,心無き実験,Black,Action Card,Common,1,,,3ライフ犠牲味方ユニット1体の攻撃力+2（1回攻撃するまで）,life_sacrifice:3;buff_target_attack_temp:2
166,COR,サイコパワー,Black,Action Card,Common,2,,,7ライフ犠牲味方ユニット1体に+2/+2,life_sacrifice:7;buff_target_attack:2;buff_target_hp:2
167,COR,破壊の本能,Black,Action Card,Common,5,,,敵ユニット1体を破壊し、味方ヒーローに破壊したユニットの攻撃力分のダメージ,destroy_target;death_damage_hero_by_attack
168,COR,悲しき変異,Black,Action Card,Common,2,,,味方ユニット1体の攻撃力+41回攻撃すると破壊を付与,buff_target_attack:4
169,COR,残虐な遊び,Black,Action Card,Common,2,,,攻撃力1以下の敵ユニット1体を破壊味方ヒーローのライフが15以下の場合、代わりにMP4以下の敵ユニット1体を破壊、MP+1,destroy_target
170,COR,集結する魂,Black,Action Card,Rare,2,,,デッキ内の＜リベンジ＞が発動しているユニット1体をEXポケットに加える,draw_to_ex
171,COR,自業自得,Black,Action Card,Rare,4,,,味方ユニット1体を破壊し、ランダムな敵ユニット1体を破壊,destroy_friendly;destroy_random_enemy
172,COR,悪魔との契約,Black,Action Card,Rare,1,,,自分のデッキを3枚除外味方ユニット1体に「＜リベンジ＞：+2/+2」付与,send_to_graveyard:3
173,COR,身勝手な捕食,Black,Action Card,Rare,1,,,味方ユニット1体を破壊し、味方ヒーローのライフ+4,destroy_friendly;heal_hero:4
174,COR,狂気の殺戮,Black,Action Card,Rare,1,,,味方ユニット1体を破壊し、敵ユニットに5ダメージを振り分ける,destroy_friendly;split_damage_all_enemy_units:5
175,COR,偽りの王座,Black,Action Card,Rare,2,,,デッキ内の最もMPの高いユニット1体を墓地に送る,send_to_graveyard:1
176,COR,抹殺,Black,Action Card,Epic,6,,,ユニット1体を破壊,destroy_target
